Frames,Timestamp,fundamental_freq,pid,qid,voice_label
588,7.096584571305142,,40,13,no
589,7.106627626551522,,40,13,no
590,7.116670681797903,,40,13,no
591,7.126713737044283,,40,13,no
592,7.136756792290663,,40,13,no
593,7.146799847537044,,40,13,no
594,7.156842902783424,,40,13,no
595,7.1668859580298045,,40,13,no
596,7.176929013276185,,40,13,no
597,7.186972068522566,,40,13,no
598,7.197015123768947,,40,13,no
599,7.207058179015327,,40,13,no
600,7.217101234261707,,40,13,no
601,7.227144289508088,,40,13,no
602,7.237187344754468,,40,13,no
603,7.2472304000008485,,40,13,no
604,7.25727345524723,,40,13,no
605,7.26731651049361,,40,13,no
606,7.2773595657399905,,40,13,no
607,7.287402620986371,,40,13,no
608,7.297445676232751,,40,13,no
609,7.307488731479132,,40,13,no
610,7.317531786725512,,40,13,no
611,7.3275748419718925,,40,13,no
612,7.337617897218273,,40,13,no
613,7.347660952464654,,40,13,no
614,7.3577040077110345,,40,13,no
615,7.367747062957415,,40,13,no
616,7.377790118203795,,40,13,no
617,7.387833173450176,,40,13,no
618,7.397876228696556,,40,13,no
619,7.407919283942936,,40,13,no
620,7.417962339189318,,40,13,no
621,7.428005394435698,,40,13,no
622,7.4380484496820785,,40,13,no
623,7.448091504928459,,40,13,no
624,7.458134560174839,,40,13,no
625,7.46817761542122,,40,13,no
626,7.4782206706676,,40,13,no
627,7.48826372591398,,40,13,no
628,7.498306781160361,,40,13,no
629,7.508349836406742,,40,13,no
630,7.518392891653122,,40,13,no
631,7.528435946899503,,40,13,no
632,7.538479002145883,167.63104620016483,40,13,yes
633,7.548522057392264,170.3854375393949,40,13,yes
634,7.558565112638644,173.34924147279054,40,13,yes
635,7.568608167885024,176.24956777176837,40,13,yes
636,7.578651223131406,178.26825861964545,40,13,yes
637,7.588694278377786,179.11571005367264,40,13,yes
638,7.598737333624166,179.06097044009164,40,13,yes
639,7.608780388870547,179.10564857269506,40,13,yes
640,7.618823444116927,178.7422354455906,40,13,yes
641,7.6288664993633075,178.438099578208,40,13,yes
642,7.638909554609688,178.86753449941295,40,13,yes
643,7.648952609856068,177.65941250852447,40,13,yes
644,7.658995665102449,176.03305972382222,40,13,yes
645,7.66903872034883,176.02575061195088,40,13,yes
646,7.67908177559521,177.46672140268353,40,13,yes
647,7.689124830841591,180.53283382809994,40,13,yes
648,7.699167886087971,186.69647385574766,40,13,yes
649,7.7092109413343515,189.60944182566726,40,13,yes
650,7.719253996580732,193.048291377205,40,13,yes
651,7.729297051827112,196.8898368051,40,13,yes
652,7.7393401070734935,198.10916885308856,40,13,yes
653,7.749383162319874,198.44177831235183,40,13,yes
654,7.759426217566254,197.756945506465,40,13,yes
655,7.769469272812635,197.0412250972023,40,13,yes
656,7.779512328059015,197.27179274979738,40,13,yes
657,7.789555383305395,197.41493160095354,40,13,yes
658,7.799598438551776,196.78502248714273,40,13,yes
659,7.809641493798156,195.98939153166717,40,13,yes
660,7.819684549044537,192.96514611929211,40,13,yes
661,7.829727604290918,186.43550321332555,40,13,yes
662,7.839770659537298,190.66266229589678,40,13,yes
663,7.849813714783679,,40,13,no
664,7.859856770030059,,40,13,no
665,7.869899825276439,,40,13,no
666,7.87994288052282,,40,13,no
667,7.8899859357692,,40,13,no
668,7.900028991015581,,40,13,no
669,7.910072046261962,,40,13,no
670,7.920115101508342,,40,13,no
671,7.930158156754723,,40,13,no
672,7.940201212001103,,40,13,no
673,7.950244267247483,224.07349700946077,40,13,yes
674,7.960287322493864,209.91356668173432,40,13,yes
675,7.970330377740244,196.31641539032236,40,13,yes
676,7.9803734329866245,191.50470320172377,40,13,yes
677,7.990416488233006,189.04990644414525,40,13,yes
678,8.000459543479387,185.1861300400831,40,13,yes
679,8.010502598725767,182.50401223308637,40,13,yes
680,8.020545653972146,180.25636780555388,40,13,yes
681,8.030588709218527,178.85277628980748,40,13,yes
682,8.040631764464909,178.2533700231756,40,13,yes
683,8.050674819711288,178.47984257332945,40,13,yes
684,8.06071787495767,180.19969251742637,40,13,yes
685,8.070760930204049,182.25084830750865,40,13,yes
686,8.08080398545043,184.11265334294697,40,13,yes
687,8.090847040696811,185.4081659761368,40,13,yes
688,8.10089009594319,186.1070547982527,40,13,yes
689,8.11093315118957,185.93015649264387,40,13,yes
690,8.120976206435952,186.02134329247374,40,13,yes
691,8.131019261682333,179.02530841804048,40,13,yes
692,8.141062316928712,171.37998572915353,40,13,yes
693,8.151105372175094,175.58177698134674,40,13,yes
694,8.161148427421473,,40,13,no
695,8.171191482667854,,40,13,no
696,8.181234537914236,,40,13,no
697,8.191277593160615,,40,13,no
698,8.201320648406995,,40,13,no
699,8.211363703653376,,40,13,no
700,8.221406758899757,,40,13,no
701,8.231449814146139,,40,13,no
702,8.241492869392518,,40,13,no
703,8.251535924638898,192.8520690328347,40,13,yes
704,8.261578979885279,185.21715048790688,40,13,yes
705,8.27162203513166,182.17632943986925,40,13,yes
706,8.28166509037804,176.78624977899074,40,13,yes
707,8.291708145624419,167.5232277745229,40,13,yes
708,8.3017512008708,158.7320452717053,40,13,yes
709,8.311794256117182,156.32222837393232,40,13,yes
710,8.321837311363563,152.60286488354532,40,13,yes
711,8.331880366609942,159.3883680207107,40,13,yes
712,8.341923421856322,162.5585042390381,40,13,yes
713,8.351966477102703,161.7918602628947,40,13,yes
714,8.362009532349084,156.55781666719952,40,13,yes
715,8.372052587595464,,40,13,no
716,8.382095642841845,,40,13,no
717,8.392138698088225,,40,13,no
718,8.402181753334606,,40,13,no
719,8.412224808580987,,40,13,no
720,8.422267863827367,,40,13,no
721,8.432310919073746,178.48594932908088,40,13,yes
722,8.442353974320127,170.64088521885407,40,13,yes
723,8.452397029566509,167.43467957022563,40,13,yes
724,8.462440084812888,165.80744529980365,40,13,yes
725,8.47248314005927,162.92079381824556,40,13,yes
726,8.482526195305649,158.9486315502283,40,13,yes
727,8.49256925055203,156.83548867724454,40,13,yes
728,8.502612305798412,156.37787295146242,40,13,yes
729,8.512655361044791,156.27126239672558,40,13,yes
730,8.52269841629117,156.38443555219584,40,13,yes
731,8.532741471537552,156.2944122228162,40,13,yes
732,8.542784526783933,156.08555869778996,40,13,yes
733,8.552827582030314,156.4016131255945,40,13,yes
734,8.562870637276694,156.59124455616904,40,13,yes
735,8.572913692523073,156.25711853123275,40,13,yes
736,8.582956747769455,155.98252415304663,40,13,yes
737,8.592999803015836,154.85930744019458,40,13,yes
738,8.603042858262215,155.00357105174166,40,13,yes
739,8.613085913508595,154.74445825424075,40,13,yes
740,8.623128968754976,,40,13,no
741,8.633172024001357,,40,13,no
742,8.643215079247739,,40,13,no
743,8.653258134494118,,40,13,no
744,8.663301189740498,,40,13,no
745,8.673344244986879,,40,13,no
746,8.68338730023326,,40,13,no
747,8.69343035547964,,40,13,no
748,8.703473410726021,,40,13,no
749,8.7135164659724,,40,13,no
750,8.723559521218782,,40,13,no
751,8.733602576465163,556.7615889850921,40,13,yes
752,8.743645631711543,547.2614526290995,40,13,yes
753,8.753688686957922,,40,13,no
754,8.763731742204303,,40,13,no
755,8.773774797450685,185.65820852666715,40,13,yes
756,8.783817852697064,175.0530368059165,40,13,yes
757,8.793860907943445,171.3862618991754,40,13,yes
758,8.803903963189825,168.86175760663855,40,13,yes
759,8.813947018436206,167.2225913462429,40,13,yes
760,8.823990073682587,165.10473676650142,40,13,yes
761,8.834033128928967,163.64044713933794,40,13,yes
762,8.844076184175346,163.24009922379514,40,13,yes
763,8.854119239421728,162.67676058420008,40,13,yes
764,8.864162294668109,162.54395868067525,40,13,yes
765,8.87420534991449,161.80292386338377,40,13,yes
766,8.88424840516087,162.72326616174095,40,13,yes
767,8.89429146040725,160.51709833215548,40,13,yes
768,8.90433451565363,159.25013572216622,40,13,yes
769,8.914377570900012,158.4039691870663,40,13,yes
770,8.924420626146391,156.7733408411286,40,13,yes
771,8.93446368139277,151.9052943670246,40,13,yes
772,8.944506736639152,147.87492389028728,40,13,yes
773,8.954549791885533,147.8088951253729,40,13,yes
774,8.964592847131915,148.57252567011096,40,13,yes
775,8.974635902378294,148.4436082980335,40,13,yes
776,8.984678957624674,147.48697348819968,40,13,yes
777,8.994722012871055,147.4360233189123,40,13,yes
778,9.004765068117436,147.39210828608157,40,13,yes
779,9.014808123363816,147.24676478917323,40,13,yes
780,9.024851178610197,146.7534324740659,40,13,yes
781,9.034894233856576,146.3501798108003,40,13,yes
782,9.044937289102958,145.7538420584177,40,13,yes
783,9.054980344349339,143.50075833391634,40,13,yes
784,9.065023399595718,141.8812827585098,40,13,yes
785,9.075066454842098,141.70853594243312,40,13,yes
786,9.08510951008848,141.13170250326652,40,13,yes
787,9.09515256533486,140.78193866635846,40,13,yes
788,9.10519562058124,140.26117549666375,40,13,yes
789,9.115238675827621,139.84084239637747,40,13,yes
790,9.125281731074,140.15503492842174,40,13,yes
791,9.135324786320382,139.4919414027205,40,13,yes
792,9.145367841566763,138.98184439063834,40,13,yes
793,9.155410896813143,135.0883616001482,40,13,yes
794,9.165453952059522,133.06504481343498,40,13,yes
795,9.175497007305903,131.9545984430947,40,13,yes
796,9.185540062552285,133.1562378370251,40,13,yes
797,9.195583117798664,131.26702819288028,40,13,yes
798,9.205626173045045,130.60044996173977,40,13,yes
799,9.215669228291425,130.88660998421005,40,13,yes
800,9.225712283537806,129.6405119361025,40,13,yes
801,9.235755338784188,129.41467003595764,40,13,yes
802,9.245798394030567,131.02698935970932,40,13,yes
803,9.255841449276948,132.16358812851155,40,13,yes
804,9.265884504523328,140.7513087626903,40,13,yes
805,9.275927559769709,143.78586970507962,40,13,yes
806,9.285970615016089,149.48546959904218,40,13,yes
807,9.29601367026247,148.5349869251447,40,13,yes
808,9.30605672550885,150.696560825229,40,13,yes
809,9.31609978075523,,40,13,no
810,9.326142836001612,,40,13,no
811,9.336185891247991,,40,13,no
812,9.346228946494373,,40,13,no
813,9.356272001740752,,40,13,no
814,9.366315056987133,,40,13,no
815,9.376358112233513,,40,13,no
816,9.386401167479894,,40,13,no
817,9.396444222726275,,40,13,no
818,9.406487277972655,,40,13,no
819,9.416530333219036,,40,13,no
820,9.426573388465416,,40,13,no
821,9.436616443711797,,40,13,no
822,9.446659498958176,,40,13,no
823,9.456702554204558,,40,13,no
824,9.466745609450939,,40,13,no
825,9.476788664697319,,40,13,no
826,9.4868317199437,,40,13,no
827,9.49687477519008,,40,13,no
828,9.50691783043646,,40,13,no
829,9.51696088568284,,40,13,no
830,9.527003940929221,,40,13,no
831,9.5370469961756,,40,13,no
832,9.547090051421982,,40,13,no
833,9.557133106668363,,40,13,no
834,9.567176161914743,,40,13,no
835,9.577219217161124,,40,13,no
836,9.587262272407504,,40,13,no
837,9.597305327653885,,40,13,no
838,9.607348382900264,,40,13,no
839,9.617391438146646,,40,13,no
840,9.627434493393025,,40,13,no
841,9.637477548639406,,40,13,no
842,9.647520603885788,,40,13,no
843,9.657563659132167,,40,13,no
844,9.667606714378548,,40,13,no
845,9.677649769624928,,40,13,no
846,9.68769282487131,,40,13,no
847,9.697735880117689,,40,13,no
848,9.70777893536407,,40,13,no
849,9.717821990610451,,40,13,no
850,9.72786504585683,,40,13,no
851,9.737908101103212,,40,13,no
852,9.747951156349592,,40,13,no
853,9.757994211595973,,40,13,no
854,9.768037266842352,,40,13,no
855,9.778080322088734,,40,13,no
856,9.788123377335115,,40,13,no
857,9.798166432581494,,40,13,no
858,9.808209487827876,,40,13,no
859,9.818252543074255,,40,13,no
860,9.828295598320636,,40,13,no
861,9.838338653567016,,40,13,no
862,9.848381708813397,,40,13,no
863,9.858424764059777,,40,13,no
864,9.868467819306158,,40,13,no
865,9.87851087455254,,40,13,no
866,9.888553929798919,,40,13,no
867,9.8985969850453,,40,13,no
868,9.90864004029168,,40,13,no
869,9.91868309553806,,40,13,no
870,9.92872615078444,,40,13,no
871,9.938769206030821,,40,13,no
872,9.948812261277201,,40,13,no
873,9.958855316523582,,40,13,no
874,9.968898371769964,,40,13,no
875,9.978941427016343,,40,13,no
876,9.988984482262724,,40,13,no
